,topic,doc_index,probability,article_number,correct
2,ARTS CULTURE ENTERTAINMENT,202,0.7909758949604727,9703,True
5,ARTS CULTURE ENTERTAINMENT,451,0.5547292782975655,9952,True
4,ARTS CULTURE ENTERTAINMENT,329,0.48553843844450156,9830,False
3,ARTS CULTURE ENTERTAINMENT,288,0.4749064970720466,9789,False
1,ARTS CULTURE ENTERTAINMENT,103,0.3935699422039525,9604,False
0,ARTS CULTURE ENTERTAINMENT,25,0.36553272727598907,9526,False
6,BIOGRAPHIES PERSONALITIES PEOPLE,353,0.6374856636441549,9854,True
9,BIOGRAPHIES PERSONALITIES PEOPLE,439,0.6299763094640274,9940,True
8,BIOGRAPHIES PERSONALITIES PEOPLE,432,0.5849527274693619,9933,True
10,BIOGRAPHIES PERSONALITIES PEOPLE,487,0.46551462040757885,9988,True
7,BIOGRAPHIES PERSONALITIES PEOPLE,395,0.46283955244207853,9896,False
11,DEFENCE,58,0.9910401918298171,9559,True
12,DEFENCE,75,0.9406644888609802,9576,True
14,DEFENCE,115,0.852261477108026,9616,True
15,DEFENCE,169,0.7632686310137096,9670,True
18,DEFENCE,341,0.6366974811238892,9842,True
17,DEFENCE,272,0.634382030964586,9773,True
16,DEFENCE,269,0.6091107701305217,9770,True
13,DEFENCE,106,0.5199376349465934,9607,False
19,DEFENCE,486,0.4964299919429152,9987,True
21,DOMESTIC MARKETS,493,0.6460011259005641,9994,True
20,DOMESTIC MARKETS,295,0.5514257030695406,9796,True
60,FOREX MARKETS,485,0.9163864821051703,9986,False
23,FOREX MARKETS,28,0.8796299217515182,9529,True
59,FOREX MARKETS,476,0.8760025284982484,9977,True
49,FOREX MARKETS,271,0.8500804158220336,9772,False
32,FOREX MARKETS,124,0.8336861441226172,9625,False
31,FOREX MARKETS,87,0.824397820240736,9588,True
39,FOREX MARKETS,181,0.824397820240736,9682,False
26,FOREX MARKETS,50,0.8153971478390555,9551,True
33,FOREX MARKETS,131,0.808430447077675,9632,False
54,FOREX MARKETS,374,0.7709126951162173,9875,False
36,FOREX MARKETS,170,0.7549268546883064,9671,False
43,FOREX MARKETS,217,0.7514168871556125,9718,True
30,FOREX MARKETS,83,0.74811922821525,9584,True
40,FOREX MARKETS,192,0.7397658339709673,9693,True
24,FOREX MARKETS,29,0.7340354679369877,9530,True
41,FOREX MARKETS,201,0.7240034487069328,9702,True
45,FOREX MARKETS,228,0.7186395462810525,9729,False
50,FOREX MARKETS,285,0.7054699141449814,9786,True
57,FOREX MARKETS,400,0.6953258210508356,9901,False
53,FOREX MARKETS,368,0.6652596301481352,9869,True
47,FOREX MARKETS,247,0.6608471170562403,9748,False
42,FOREX MARKETS,210,0.6471247595668151,9711,False
37,FOREX MARKETS,175,0.64359396080956,9676,False
58,FOREX MARKETS,443,0.6310239948153225,9944,False
56,FOREX MARKETS,393,0.6168845291990955,9894,False
34,FOREX MARKETS,140,0.612759243125965,9641,True
27,FOREX MARKETS,64,0.6127008829657594,9565,False
46,FOREX MARKETS,242,0.593239075132419,9743,False
29,FOREX MARKETS,76,0.5916809323441918,9577,True
52,FOREX MARKETS,325,0.5641414712115791,9826,False
44,FOREX MARKETS,224,0.5330348087806933,9725,True
28,FOREX MARKETS,69,0.5312552172592214,9570,True
48,FOREX MARKETS,252,0.51011193517171,9753,False
25,FOREX MARKETS,47,0.50871411267755,9548,False
51,FOREX MARKETS,297,0.5025572861023866,9798,True
38,FOREX MARKETS,179,0.467951558965305,9680,False
22,FOREX MARKETS,5,0.4679245845908865,9506,True
55,FOREX MARKETS,382,0.43430936356922123,9883,False
35,FOREX MARKETS,164,0.3384638258866135,9665,True
66,HEALTH,372,0.9278903138982215,9873,True
61,HEALTH,108,0.8918781845256591,9609,False
63,HEALTH,160,0.8790705149602068,9661,True
65,HEALTH,332,0.8237598190725605,9833,True
69,HEALTH,436,0.6418680570496252,9937,False
71,HEALTH,477,0.629511807629005,9978,True
70,HEALTH,446,0.6076052825598898,9947,True
68,HEALTH,425,0.5970039042201792,9926,False
64,HEALTH,309,0.49443762069220143,9810,True
67,HEALTH,410,0.4567624003455186,9911,True
62,HEALTH,120,0.2939142974596721,9621,True
191,IRRELEVANT,215,0.9993481519728732,9716,True
193,IRRELEVANT,218,0.9988464385676376,9719,True
139,IRRELEVANT,123,0.9986377419760885,9624,True
331,IRRELEVANT,457,0.9984220705666647,9958,True
330,IRRELEVANT,456,0.9984065385141899,9957,True
177,IRRELEVANT,189,0.9982791676027253,9690,True
302,IRRELEVANT,412,0.9981325408194209,9913,True
157,IRRELEVANT,150,0.9978813016658158,9651,True
303,IRRELEVANT,413,0.9975793837800122,9914,True
96,IRRELEVANT,42,0.9974471483565509,9543,True
281,IRRELEVANT,383,0.9971529009390699,9884,True
